Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value
ENSG00000160213,CSTB,1.7361544461778469,0.7443390958180596,0.1397404904649621,1.1985351817944023,-0.23989344108444421,1.0,0.8350271002710026,-0.8077498204328615,0.757050571069348,0.995408832531701,-0.5140271859129774,1.0,0.8778378378378378,-0.6684440053703498,1.0,1.2583249243188699,-0.139772392926372,1.0,1.3288409703504045,-0.06408285085630055,1.0,0.6170212765957447,-0.8507186087144294,1.0
ENSG00000160214,RRP1,0.055138455538221526,-0.9509276692991318,0.131074243281486,0.1251634841747319,0.8026062825587377,0.48110493138623955,0.15226964769647694,1.1248949117653737,0.2718813430521207,0.06974202011368605,-0.16167563748938774,1.0,0.0627027027027027,-0.12051223559416036,1.0,0.0,-1.5792227913720929,1.0,0.07816711590296496,0.4422227059898569,1.0,0.0,2.199804675353259,1.0
ENSG00000215458,AATBC,0.09048361934477378,3.785135958572682,2.3999389394364955e-08,0.0,-3.933949396832473,0.007680815970814613,0.0,-3.4917764486831198,0.06810725355916544,0.0,-3.0738028814640534,0.18874711099608638,0.0,-1.6806000676762878,1.0,0.0,-0.7688840108756674,1.0,0.15633423180592992,2.051638250435553,1.0,0.0,3.0101434558496845,1.0
ENSG00000160216,AGPAT3,0.3067960218408736,1.34508592500982,0.00490218849658333,0.10999215275961288,-1.0426556562749738,0.4462032989820274,0.07859078590785908,-1.4856137095346291,0.30218385738282455,0.1965456930476607,-0.07902059073507273,1.0,0.09405405405405405,-1.003125428165593,1.0,0.17558022199798184,-0.09140937136497307,1.0,0.07816711590296496,-0.9203473733948515,1.0,0.0,0.8518813719329517,1.0
ENSG00000160218,TRAPPC10,0.12017355694227767,-0.40790224214090687,0.6346244001407052,0.19343447554276746,0.5988903728125496,0.5637220663188459,0.058943089430894303,-1.2827251159509867,0.47641969065012624,0.20288587669435942,0.6361721988238407,0.845420202183257,0.21945945945945944,0.749852483989244,1.0,0.08779011099899092,-0.3256954712826743,1.0,0.31266846361185985,1.2926463499393472,1.0,0.0,1.4321673854446346,1.0
ENSG00000241945,PWP2,0.004241419656786271,-1.374735378205707,0.3547021946680957,0.018964164268898773,1.5896125592245385,0.44115453459472714,0.014735772357723576,1.157316389457752,0.7933818146542891,0.006340183646698732,0.33428185717302394,1.0,0.0,0.6205694670442776,1.0,0.0,1.5322855238448971,1.0,0.03908355795148248,3.0516382504355524,1.0,0.0,5.311312990570249,1.0
ENSG00000160221,GATD3A,0.07210413416536661,-0.30232688267765706,0.7479560203988433,0.10999215275961288,0.5896125592245389,0.6589352177611948,0.08841463414634146,0.2064640387868395,1.0,0.06974202011368605,-0.1352034261281969,1.0,0.047027027027027025,-0.43005660602569096,1.0,0.14631685166498487,1.0917129324589165,1.0,0.03908355795148248,-0.13056508078519657,1.0,0.0,2.2238501493199094,1.0
ENSG00000225331,LINC01678,0.03675897035881435,0.5916562291514733,0.5971840606364616,0.018964164268898773,-0.5623905342205111,1.0,0.014735772357723576,-0.7755694146837113,1.0,0.006340183646698732,-1.4247100433231816,0.8965078312720728,0.1254054054054054,2.3883960249152447,0.2420226105318024,0.029263370332996974,0.8802088272652044,1.0,0.0,0.2602248722469698,1.0,0.0,3.626814816298179,1.0
ENSG00000285413,AP001056.2,0.0028276131045241806,1.6696587411527455,0.5316411713623993,0.0,0.5896125592245394,1.0,0.0,1.0317855073738933,1.0,0.0,1.4497590745929587,1.0,0.0,2.8429618883807244,1.0,0.0,3.7546779451813457,1.0,0.0,4.1671154678554885,1.0,0.0,7.5337054119066975,1.0
ENSG00000237604,AP001056.1,0.0014138065522620903,-1.2372318544557732,0.7368385821273634,0.0,-0.41038744077545974,1.0,0.009823848238482384,2.2017105088162054,0.58929450064658,0.0,0.4497590745929596,1.0,0.03135135135135135,4.012886889823038,0.3858250724756936,0.0,2.7546779451813457,1.0,0.0,3.1671154678554885,1.0,0.0,6.533705411906697,1.0
ENSG00000232124,AP001057.1,0.0,-2.9153037595684106,0.11107655052595762,0.0,-0.8254249400543037,1.0,0.004911924119241192,0.8093930860374448,1.0,0.0,0.03472157531411568,1.0,0.09405405405405405,6.235279311159486,0.0003198113965455418,0.0,2.3396404459025018,1.0,0.0,2.7520779685766446,1.0,0.0,6.118667912627854,1.0
ENSG00000160223,ICOSLG,0.014138065522620903,-1.5002662602895658,0.09229633048464228,0.0037928328537797542,-2.2177423628330653,0.2553433573211176,0.02455962059620596,-0.04621700462738065,1.0,0.006340183646698732,-1.357595847464645,0.9863147961055286,0.3918918918918919,4.958439105800661,5.968980457031171e-08,0.0,-0.08662430879959615,1.0,0.0,0.32581321387454665,1.0,0.0,3.692403157925755,1.0
ENSG00000278158,AP001059.3,0.0,-4.559159949343135,0.00015105440678104328,0.0,-2.469281129829029,0.29810231056689596,0.009823848238482384,-0.3218514472408076,1.0,0.012680367293397464,0.0961221199782587,1.0,0.3135135135135135,6.4983137169932785,8.56136648314246e-10,0.0,0.6957842561277765,1.0,0.0,1.1082217788019193,1.0,0.0,4.474811722853128,1.0
ENSG00000275799,AP001059.2,0.0014138065522620903,-3.8695000699552864,0.00021826262665360945,0.0,-2.8254249400543037,0.24799560274860172,0.004911924119241192,-1.3374483022918264,0.8654611690408971,0.025360734586794928,0.5492947481438746,1.0,0.3762162162162162,6.071780578876606,1.8107771740990512e-09,0.029263370332996974,1.385444135515626,1.0,0.0,0.7520779685766446,1.0,0.0,4.118667912627854,1.0
ENSG00000142182,DNMT3L,0.0,-0.9153037595684115,1.0,0.0,1.1745750599456954,1.0,0.0,1.6167480080950494,1.0,0.0,2.0347215753141166,1.0,0.015675675675675675,5.427924389101882,0.45411796716035446,0.0,4.339640445902502,1.0,0.0,4.7520779685766446,1.0,0.0,8.118667912627853,1.0
ENSG00000232010,AP001059.1,0.0014138065522620903,-0.5002662602895667,1.0,0.0,0.17457505994569544,1.0,0.0,0.6167480080950494,1.0,0.0,1.0347215753141166,1.0,0.03135135135135135,5.012886889823038,0.2914049598769453,0.0,3.3396404459025018,1.0,0.0,3.7520779685766446,1.0,0.0,7.118667912627854,1.0
ENSG00000160224,AIRE,0.0,-2.9153037595684106,0.14289667454463392,0.0,-0.8254249400543037,1.0,0.0,-0.38325199190495063,1.0,0.03170091823349366,4.034721575314115,0.08210933490570889,0.015675675675675675,2.6205694670442776,1.0,0.029263370332996974,3.532285523844897,1.0,0.0,2.7520779685766446,1.0,0.0,6.118667912627854,1.0
ENSG00000141959,PFKL,0.4425214508580343,0.16986362369426722,0.8816068614721622,0.3034266283023804,-0.5326988492837057,0.9054632204806132,0.33401084010840104,-0.3542123189535975,1.0,0.5706165282028859,0.5229254871549311,0.8817775167301146,0.6583783783783783,0.7069842188617507,1.0,0.26337033299697277,-0.5672501497060167,1.0,0.23450134770889489,-0.6765813012658362,1.0,0.0,-0.1316305052784792,1.0
