Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000166979,EVA1C,0.05825357438260665,2.710638884680569,0.00048434021993167025,0.008009205983889527,-2.443308985314591,0.0033717109613288897,0.008022130013831258,-0.949559074055931,1.0
ENSG00000242220,TCP10L,0.0051400212690535275,1.5813558677356028,0.6603673423724984,0.001334867663981588,-1.0807389059298824,0.6585791890654557,0.0,1.0860648356747902,1.0
ENSG00000159079,CFAP298,0.3341013824884793,0.6569069007427795,0.276672927704102,0.19222094361334865,-0.7895730648132071,0.14193813175194536,0.3289073305670816,0.3909194172032111,1.0
ENSG00000159082,SYNJ1,0.03255346803733901,-0.4890334601557953,0.6603673423724984,0.04672036823935558,0.3887463773713371,0.6832156908177066,0.04813278008298755,0.4339881390950975,1.0
ENSG00000238197,PAXBP1-AS1,0.02741344676828548,-0.23807188662257683,0.9454279925123211,0.03737629459148446,0.6073170877553773,0.6043565489339412,0.008022130013831258,-1.083860165767522,1.0
ENSG00000159086,PAXBP1,0.11993382961124899,-0.33498620321748795,0.7228500620106602,0.15350978135788262,0.3015086582312918,0.6832156908177066,0.14439834024896264,0.11676163289770658,1.0
ENSG00000205930,C21orf62-AS1,0.05311355311355312,2.4114308662932906,0.002061729730389758,0.008009205983889527,-2.3608468251226187,0.0036612014100101094,0.016044260027662516,-0.25497208216027634,1.0
ENSG00000205929,C21orf62,0.042833510575446064,1.8223639672393972,0.020166289852783976,0.009344073647871116,-1.9387199010574552,0.0178570400293668,0.024066390041493774,0.3635988112036994,1.0
ENSG00000184221,OLIG1,0.0051400212690535275,-3.8449088869664956,1.561164625106279e-07,0.11346375143843498,4.3455258487722155,4.372979556062888e-10,0.0,-3.067740500404245,0.22281636833208676
ENSG00000159110,IFNAR2,0.3221079995273544,0.17205473800590299,0.8474230110629395,0.3003452243958573,-0.0020269299158417464,1.0,0.20055325034578145,-0.5850543087960804,1.0
ENSG00000223799,IL10RB-DT,0.015420063807160583,-2.0036066329855533,0.004709979670745414,0.0774223245109321,2.342472524794662,0.00025666792331627573,0.008022130013831258,-1.6794699106881863,0.7456273355633368
ENSG00000243646,IL10RB,0.21074087203119465,-1.3773371581074842,0.00607896239011116,0.5900115074798619,1.3616958283940583,0.0033728082978993807,0.3128630705394191,-0.41473721738236713,1.0
ENSG00000142166,IFNAR1,0.2792744889519083,-0.40094213053093863,0.6603673423724984,0.32704257767548905,-0.05708763786523696,1.0,0.6257261410788382,1.0358166457975069,0.29545562614757237
ENSG00000159128,IFNGR2,0.10965378707314193,-2.945098227694694,1.5371063928244069e-09,0.8850172612197929,2.0654818349211617,2.7404106450974973e-06,0.6818810511756569,0.32646304506555435,1.0
ENSG00000142188,TMEM50B,0.28098782937492617,0.6997505685378327,0.24383296705351326,0.1655235903337169,-0.6999171219889513,0.2167316086857031,0.21659751037344396,0.040422170119077894,1.0
